Year  Nationwide  Rural  Urban
1978  184         138    405
1979  207         158    434
1980  236         178    496
1981  262         199    562
1982  284         221    576
1983  311         246    603
1984  354         283    662
1985  437         347    802
1986  485         376    920
1987  550         417    1089
1988  693         508    1431
1989  762         553    1568
1990  803         571    1686
1991  896         621    1925
1992  1070        718    2356
1993  1331        855    3027
1994  1746        1118   3891
1995  2336        1434   4874
1996  2641        1768   5430
1997  2834        1876   5796
1998  2972        1895   6217
1999  3180        1973   6651
