 序号,省市区,11月,1～11月
 1,北京,35.22,499.8
 2,天津,10.41,161.37
 3,河北,17.22,273.29
 4,山西,10.7,134.79
 5,内蒙古,10.29,90.92
 6,辽宁,18.66,348.99
 7,吉林,4.41,106.89
 8,黑龙江,6.24,196.44
 9,上海,49.72,656.95
 10,江苏,47.7,580.7
 11,浙江,36.55,518.1
 12,安徽,14.85,179.41
 13,福建,19.46,250.16
 14,江西,10.93,122.06
 15,山东,40.26,552.74
 16,河南,19.82,268.2
 17,湖北,19.49,221.43
 18,湖南,16.01,197.68
 19,广东,99.32,1080.26
 20,广西,14.77,160.6
 21,海南,3.96,39.51
 22,重庆,10.49,111.76
 23,四川,21.71,250.09
 24,贵州,13.06,95.87
 25,云南,20.34,183.62
 26,西藏,0.77,6.08
 27,陕西,11.38,133.5
 28,甘肃,3.66,64.86
 29,青海,1.21,18.3
 30,宁夏,2.31,23.81
 31,新疆,3.24,103.81
