FeIon dose retention  
Fe3 high  0.71 
Fe3 high  1.66 
Fe3 high  2.01 
Fe3 high  2.16 
Fe3 high  2.42 
Fe3 high  2.42
Fe3 high  2.56 
Fe3 high  2.60 
Fe3 high  3.31 
Fe3 high  3.64 
Fe3 high  3.74 
Fe3 high  3.74
Fe3 high  4.39 
Fe3 high  4.50 
Fe3 high  5.07 
Fe3 high  5.26 
Fe3 high  8.15 
Fe3 high  8.24
Fe3 mid  2.20 
Fe3 mid  2.93 
Fe3 mid  3.08 
Fe3 mid  3.49 
Fe3 mid  4.11 
Fe3 mid  4.95
Fe3 mid  5.16 
Fe3 mid  5.54 
Fe3 mid  5.68 
Fe3 mid  6.25 
Fe3 mid  7.25 
Fe3 mid  7.90
Fe3 mid  8.85 
Fe3 mid 11.96 
Fe3 mid 15.54 
Fe3 mid 15.89 
Fe3 mid 18.30 
Fe3 mid 18.59
Fe3 low  2.25 
Fe3 low  3.93 
Fe3 low  5.08 
Fe3 low  5.82 
Fe3 low  5.84 
Fe3 low  6.89
Fe3 low  8.50 
Fe3 low  8.56 
Fe3 low  9.44 
Fe3 low 10.52 
Fe3 low 13.46 
Fe3 low 13.57
Fe3 low 14.76 
Fe3 low 16.41 
Fe3 low 16.96 
Fe3 low 17.56 
Fe3 low 22.82 
Fe3 low 29.13
Fe2 high  2.20 
Fe2 high  2.69 
Fe2 high  3.54 
Fe2 high  3.75 
Fe2 high  3.83 
Fe2 high  4.08
Fe2 high  4.27 
Fe2 high  4.53 
Fe2 high  5.32 
Fe2 high  6.18 
Fe2 high  6.22 
Fe2 high  6.33
Fe2 high  6.97 
Fe2 high  6.97 
Fe2 high  7.52 
Fe2 high  8.36 
Fe2 high 11.65 
Fe2 high 12.45
Fe2 mid  4.04 
Fe2 mid  4.16 
Fe2 mid  4.42 
Fe2 mid  4.93 
Fe2 mid  5.49 
Fe2 mid  5.77
Fe2 mid  5.86 
Fe2 mid  6.28 
Fe2 mid  6.97 
Fe2 mid  7.06 
Fe2 mid  7.78 
Fe2 mid  9.23
Fe2 mid  9.34 
Fe2 mid  9.91 
Fe2 mid 13.46 
Fe2 mid 18.40 
Fe2 mid 23.89 
Fe2 mid 26.39
Fe2 low  2.71 
Fe2 low  5.43 
Fe2 low  6.38 
Fe2 low  6.38 
Fe2 low  8.32 
Fe2 low  9.04
Fe2 low  9.56 
Fe2 low 10.01 
Fe2 low 10.08 
Fe2 low 10.62 
Fe2 low 13.80 
Fe2 low 15.99
Fe2 low 17.90 
Fe2 low 18.25 
Fe2 low 19.32 
Fe2 low 19.87 
Fe2 low 21.60 
Fe2 low 22.25 
