,x1,x2,x3,y1,y2,y3
1,60,69,62,97,69,98
2,56,53,84,103,78,107
3,80,69,76,66,99,130
4,55,80,90,80,85,114
5,62,75,68,116,130,91
6,74,64,70,109,101,103
7,64,71,66,77,102,130
8,73,70,64,115,110,109
9,68,67,75,76,85,119
10,69,82,74,72,133,127
11,60,67,61,130,134,121
12,70,74,78,150,158,100
13,66,74,78,150,131,142
14,83,70,74,99,98,105
15,68,66,90,119,85,109
16,78,63,75,164,98,138
17,103,77,77,160,117,121
18,77,68,74,144,71,153
19,66,77,68,77,82,89
20,70,70,72,114,93,122
21,75,65,71,77,70,109
22,91,74,93,118,115,150
23,66,75,73,170,147,121
24,75,82,76,153,132,115
25,74,71,66,143,105,100
26,76,70,64,114,113,129
27,74,90,86,73,106,116
28,74,77,80,116,81,77
29,67,71,69,63,87,70
30,78,75,80,105,132,80
31,64,66,71,83,94,133
32,71,80,76,81,87,86
33,63,75,73,120,89,59
34,90,103,74,107,109,101
35,60,76,61,99,111,98
36,48,77,75,113,124,97
37,66,93,97,136,112,122
38,74,70,76,109,88,105
39,60,74,71,72,90,71
40,63,75,66,130,101,90
41,66,80,86,130,117,144
42,77,67,74,83,92,107
43,70,67,100,150,142,146
44,73,76,81,119,120,119
45,78,90,77,122,155,149
46,73,68,80,102,90,122
47,72,83,68,104,69,96
48,65,60,70,119,94,89
49,52,70,76,92,94,100
