 ,group,x1,x2,x3,x4,x5,x6,x7
1,1,6.6,39,1,6,6,0.12,20
2,1,6.6,39,1,6,12,0.12,20
3,1,6.1,47,1,6,6,0.08,12
4,1,6.1,47,1,6,12,0.08,12
5,1,8.4,32,2,7.5,19,0.35,75
6,1,7.2,6,1,7,28,0.3,30
7,1,8.4,113,3.5,6,18,0.15,75
8,1,7.5,52,1,6,12,0.16,40
9,1,7.5,52,3.5,7.5,6,0.16,40
10,1,8.3,113,0,7.5,35,0.12,180
11,1,7.8,172,1,3.5,14,0.21,45
12,1,7.8,172,1.5,3,15,0.21,45
13,2,8.4,32,1,5,4,0.35,75
14,2,8.4,32,2,9,10,0.35,75
15,2,8.4,32,2.5,4,10,0.35,75
16,2,6.3,11,4.5,7.5,3,0.2,15
17,2,7,8,4.5,4.5,9,0.25,30
18,2,7,8,6,7.5,4,0.25,30
19,2,7,8,1.5,6,1,0.25,30
20,2,8.3,161,1.5,4,4,0.08,70
21,2,8.3,161,0.5,2.5,1,0.08,70
22,2,7.2,6,3.5,4,12,0.3,30
23,2,7.2,6,1,3,3,0.3,30
24,2,7.2,6,1,6,5,0.3,30
25,2,5.5,6,2.5,3,7,0.18,18
26,2,8.4,113,3.5,4.5,6,0.15,75
27,2,8.4,113,3.5,4.5,8,0.15,75
28,2,7.5,52,1,6,6,0.16,40
29,2,7.5,52,1,7.5,8,0.16,40
30,2,8.3,97,0,6,5,0.15,180
31,2,8.3,97,2.5,6,5,0.15,180
32,2,8.3,89,0,6,10,0.16,180
33,2,8.3,56,1.5,6,13,0.25,180
34,2,7.8,172,1,3.5,6,0.21,45
35,2,7.8,233,1,4.5,6,0.18,45
