Area,x1,x2
1,52,30
2,50,16
3,47,23
4,22,10
5,16,8
6,12,13
7,47,19
8,12,12
9,36,10
10,17,10
11,38,15
12,42,22
13,16,7
14,22,7
15,31,11
16,26,5
17,34,10
18,20,6
19,19,11
20,42,11
21,39,13
22,48,23
23,14,11
24,12,14
25,10,12
26,46,14
27,16,9
28,40,14
29,18,12
30,36,15
31,38,16
32,42,12
33,48,14
34,14,10
35,48,23
36,16,6
37,50,14
38,43,12
39,26,6
40,47,22
41,30,6
42,40,7
43,47,16
44,45,18
45,46,20
46,13,8
47,49,22
48,44,14
49,40,13
50,34,10
51,20,9
52,19,10
53,48,14
54,19,10
55,49,19
56,36,12
57,18,8
58,26,9
59,49,17
60,12,11
61,12,9
62,47,14
63,47,17
64,34,10
65,34,12
66,18,9
67,48,17
68,12,12
69,15,9
70,50,28
71,36,6
72,42,17
73,18,8
74,45,18
